"","participant","slide","CHOL","confidence","asst_pred","unasst_pred","gt","name","type"
"200","P3Test2_11312019","slide6.5",0.512795832,0.487204168,0,1,0,"Pathologist NOC 2","Pathologist NOC"
"201","P3Test2_11312019","slide6.6",0.174208164,0.825791836,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"202","P3Test2_11312019","slide6.7",0.980467414,0.019532586,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"203","P3Test2_11312019","slide6.8",0.406970479,0.593029521,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"204","P3Test2_11312019","slide6.9",0.869643018,0.130356982,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"205","P3Test2_11312019","slide8.1",0.977965333,0.022034667,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"206","P3Test2_11312019","slide8.10",0.00789836,0.99210164,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"207","P3Test2_11312019","slide8.2",0.947216813,0.052783187,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"208","P3Test2_11312019","slide8.3",0.995386484,0.004613516,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"209","P3Test2_11312019","slide8.4",0.501177515,0.498822485,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"210","P3Test2_11312019","slide8.5",0.016341388,0.983658612,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"211","P3Test2_11312019","slide8.6",0.021224976,0.978775024,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"212","P3Test2_11312019","slide8.7",0.982039114,0.017960886,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"213","P3Test2_11312019","slide8.8",0.999058284,0.000941716,0,0,0,"Pathologist NOC 2","Pathologist NOC"
"214","P3Test2_11312019","slide8.9",0.081072509,0.918927491,1,1,1,"Pathologist NOC 2","Pathologist NOC"
"215","P4Test2_11312019","slide0.1",0.197562983,0.802437017,NA,NA,NA,"GI Specialist 1","GI Specialist"
"216","P4Test2_11312019","slide0.3",0.852904439,0.147095561,NA,NA,NA,"GI Specialist 1","GI Specialist"
"217","P4Test2_11312019","slide2.1",0.271234155,0.728765845,1,1,1,"GI Specialist 1","GI Specialist"
"218","P4Test2_11312019","slide2.10",0.860830083,0.139169917,0,0,0,"GI Specialist 1","GI Specialist"
"219","P4Test2_11312019","slide2.2",0.773930728,0.226069272,0,0,0,"GI Specialist 1","GI Specialist"
"220","P4Test2_11312019","slide2.3",0.992855913,0.007144087,0,0,0,"GI Specialist 1","GI Specialist"
"221","P4Test2_11312019","slide2.4",0.026936948,0.973063052,1,1,1,"GI Specialist 1","GI Specialist"
"222","P4Test2_11312019","slide2.5",0.822448686,0.177551314,0,0,0,"GI Specialist 1","GI Specialist"
"223","P4Test2_11312019","slide2.6",0.999172665,0.000827335,0,0,0,"GI Specialist 1","GI Specialist"
"224","P4Test2_11312019","slide2.7",0.972979119,0.027020881,1,1,1,"GI Specialist 1","GI Specialist"
"225","P4Test2_11312019","slide2.8",0.003660917,0.996339083,1,1,1,"GI Specialist 1","GI Specialist"
"226","P4Test2_11312019","slide2.9",0.079994142,0.920005858,1,1,1,"GI Specialist 1","GI Specialist"
"227","P4Test2_11312019","slide4.1",0.340298533,0.659701467,1,1,1,"GI Specialist 1","GI Specialist"
"228","P4Test2_11312019","slide4.10",0.556737304,0.443262696,1,1,0,"GI Specialist 1","GI Specialist"
"229","P4Test2_11312019","slide4.2",0.027822554,0.972177446,1,1,1,"GI Specialist 1","GI Specialist"
"230","P4Test2_11312019","slide4.3",0.707180977,0.292819023,1,1,1,"GI Specialist 1","GI Specialist"
"231","P4Test2_11312019","slide4.4",0.996687217,0.003312783,0,0,0,"GI Specialist 1","GI Specialist"
"232","P4Test2_11312019","slide4.5",0.00146842,0.99853158,1,1,1,"GI Specialist 1","GI Specialist"
"233","P4Test2_11312019","slide4.6",0.276150107,0.723849893,1,1,1,"GI Specialist 1","GI Specialist"
"234","P4Test2_11312019","slide4.7",0.000645459,0.999354541,1,1,1,"GI Specialist 1","GI Specialist"
"235","P4Test2_11312019","slide4.8",0.987753667,0.012246333,0,0,0,"GI Specialist 1","GI Specialist"
"236","P4Test2_11312019","slide4.9",0.985897689,0.014102311,0,0,0,"GI Specialist 1","GI Specialist"
"237","P4Test2_11312019","slide6.1",0.371773601,0.628226399,1,1,1,"GI Specialist 1","GI Specialist"
"238","P4Test2_11312019","slide6.10",0.344432652,0.655567348,1,1,1,"GI Specialist 1","GI Specialist"
"239","P4Test2_11312019","slide6.2",0.257885814,0.742114186,1,1,1,"GI Specialist 1","GI Specialist"
