participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P8Test1_02282019,slide5.9,1,2,0.00001299999985,0.9999870062,1,1,GI Specialist 1,1,0,1,0,0
P4Test1_02242019,slide5.9,1,2,0.00001369999973,0.9999862909,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide5.9,1,2,0.00001369999973,0.9999862909,1,1,GI Specialist 3,1,0,1,0,0
P4Test1_02242019,slide5.3,1,2,0.00001530000009,0.9999847412,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide5.3,1,2,0.00001530000009,0.9999847412,1,1,GI Specialist 3,1,0,1,0,0
P8Test1_02282019,slide1.5,1,2,0.00001689999954,0.9999830723,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide1.5,1,2,0.00001689999954,0.9999830723,1,1,GI Specialist 1,1,0,1,0,0
P9Test1_02242019,slide5.9,1,2,0.0000172,0.9999828339,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide5.9,1,2,0.0000172,0.9999828339,1,1,Trainee 2,3,0,1,0,0
P10Test1_02152019,slide5.9,1,2,0.00001730000076,0.9999827147,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide5.9,1,2,0.00001730000076,0.9999827147,1,1,None-GI Specialist 1,2,0,1,0,0
P5Test2_02212019,slide4.7,0,1,0.00001960000009,0.9999804497,1,1,Trainee 1,3,1,1,0,0
P5Test2_02212019,slide4.7,0,1,0.00001960000009,0.9999804497,1,1,Trainee 1,3,0,1,0,0
P8Test1_02282019,slide5.4,1,2,0.00002099999983,0.9999790192,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide5.4,1,2,0.00002099999983,0.9999790192,1,1,GI Specialist 1,1,0,1,0,0
P7Test2_02252019,slide2.4,0,2,0.00002189999941,0.9999780655,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide2.4,0,2,0.00002189999941,0.9999780655,1,1,GI Specialist 2,1,0,1,0,0
P6Test2_02262019,slide4.7,0,1,0.00002259999928,0.9999774098,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide4.7,0,1,0.00002259999928,0.9999774098,1,1,None-GI Specialist 4,2,0,1,0,0
P1Test1_11302019,slide1.9,1,2,0.00002289999975,0.9999771118,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test1_11302019,slide1.9,1,2,0.00002289999975,0.9999771118,1,1,None-GI Specialist 2,2,0,1,0,0
P4Test1_02242019,slide1.5,1,2,0.00002900000072,0.9999710321,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide1.5,1,2,0.00002900000072,0.9999710321,1,1,GI Specialist 3,1,0,1,0,0
P4Test2_11312019,slide6.3,0,2,0.00003389999983,0.9999661446,1,1,GI Specialist 3,1,1,1,0,0
